GroupID,Character,Radical,Phonetic,Dazidian,Shuowen,Shuowen_clean,Dazidian_clean,Combined
1.0,僮,人部,童,未成年的男子,未冠也。,未冠也,未成年的男子,未冠也 未成年的男子
1.0,憧,心部,童,意不定,意不定也。,意不定也,意不定,意不定也 意不定
2.0,仞,人部,刃,古代长度单位，八尺为一仞，一说七尺为一仞，也有以五尺六寸或四尺为一仞的。,伸臂一尋，八尺。,伸臂一尋，八尺,古代长度单位，八尺为一仞，一说七尺为一仞，也有以五尺六寸或四尺为一仞的。,伸臂一尋，八尺 古代长度单位，八尺为一仞，一说七尺为一仞，也有以五尺六寸或四尺为一仞的。
2.0,忍,心部,刃,忍耐；容忍,能也。,能也,忍耐,能也 忍耐
3.0,佼,人部,交,交往；交際,交也。,交也,交往,交也 交往
3.0,恔,心部,交,聪明；狡黠。,憭也。,憭也,聪明,憭也 聪明
4.0,儒,人部,需,春秋時從巫、史、祝、卜中分化出来的熟悉詩書禮樂而為貴族服務的人,柔也。,柔也,春秋時從巫、史、祝、卜中分化出来的熟悉詩書禮樂而為貴族服務的人,柔也 春秋時從巫、史、祝、卜中分化出来的熟悉詩書禮樂而為貴族服務的人
4.0,懦,心部,需,膽小軟弱,駑弱者也。駑弱也。,駑弱者也,膽小軟弱,駑弱者也 膽小軟弱
5.0,俊,人部,夋,才智超群的人,材千人也。材過千人也。,材千人也,才智超群的人,材千人也 才智超群的人
5.0,悛,心部,夋,停止,止也。,止也,停止,止也 停止
6.0,㑮,人部,軍,姓,人姓。,人姓,姓,人姓 姓
6.0,惲,心部,軍,敦厚；渾厚,重厚也。,重厚也,敦厚,重厚也 敦厚
7.0,伋,人部,及,人名,人名。,人名,人名,人名 人名
7.0,急,心部,刍,狹窄；狹隘,褊也。,褊也,狹窄,褊也 狹窄
8.0,伉,人部,亢,人名/匹偶,人名。,人名,人名/匹偶,人名 人名/匹偶
8.0,忼,心部,亢,同“慷”,慨也。忼慨也。,慨也,同“慷”,慨也 同“慷”
9.0,伯,人部,白,古代統領一方的長官,長也。,長也,古代統領一方的長官,長也 古代統領一方的長官
9.0,怕,心部,白,恬淡,無爲也。無僞也。,無爲也,恬淡,無爲也 恬淡
10.0,仲,人部,中,中；居中,中也。,中也,中,中也 中
10.0,忡,心部,中,憂愁貌。,憂也。,憂也,憂愁貌。,憂也 憂愁貌。
11.0,倩,人部,青,古時男子的美稱。,人字。人美字也。,人字,古時男子的美稱。,人字 古時男子的美稱。
11.0,情,心部,青,感情；情緒,人之陰气有欲者。人之侌气有欲者。,人之陰气有欲者,感情,人之陰气有欲者 感情
12.0,儇,人部,睘,輕薄；小聰明,慧也。,慧也,輕薄,慧也 輕薄
12.0,懁,心部,睘,性急,急也。㤂也。,急也,性急,急也 性急
13.0,倓,人部,炎,安然不移,安也。,安也,安然不移,安也 安然不移
13.0,惔,心部,炎,火燒,憂也。也。,憂也,火燒,憂也 火燒
14.0,侚,人部,旬,疾速,疾也。,疾也,疾速,疾也 疾速
14.0,恂,心部,旬,誠信,信心也。,信心也,誠信,信心也 誠信
15.0,佳,人部,圭,美，好,善也。,善也,美，好,善也 美，好
15.0,恚,心部,圭,憤怒，怨恨,恨也。怒也。,恨也,憤怒，怨恨,恨也 憤怒，怨恨
16.0,侅,人部,亥,非常，特殊,奇侅，非常也。,奇侅，非常也,非常，特殊,奇侅，非常也 非常，特殊
16.0,㤥,心部,亥,愁苦,苦也。苦也通俗文。,苦也,愁苦,苦也 愁苦
17.0,僚,人部,尞,美好,好皃。,好皃,美好,好皃 美好
17.0,憭,心部,尞,聰慧，精明,慧也。,慧也,聰慧，精明,慧也 聰慧，精明
18.0,儺,人部,難,行有節度,行人節也。行有節也。,行人節也,行有節度,行人節也 行有節度
18.0,戁,心部,難,恭敬,敬也。,敬也,恭敬,敬也 恭敬
19.0,僓,人部,貴,嫻雅,嫺也。,嫺也,嫻雅,嫺也 嫻雅
19.0,憒,心部,貴,昏亂,亂也。,亂也,昏亂,亂也 昏亂
20.0,侗,人部,同,長大,大皃。,大皃,長大,大皃 長大
20.0,恫,心部,同,哀痛，痛苦,痛也，一曰呻吟也。痛也。,痛也，一曰呻吟也,哀痛，痛苦,痛也，一曰呻吟也 哀痛，痛苦
21.0,僤,人部,單,疾速,疾也。,疾也,疾速,疾也 疾速
