GroupID,Character,Radical,Phonetic,Dazidian,Shuowen,Shuowen_clean,Dazidian_clean,Combined,x,y
1.0,僮,人部,童,未成年的男子,未冠也。,未冠也,未成年的男子,未冠也 未成年的男子,0.069778144,-0.09426716
1.0,憧,心部,童,意不定,意不定也。,意不定也,意不定,意不定也 意不定,0.124419935,0.025313767
2.0,仞,人部,刃,古代长度单位，八尺为一仞，一说七尺为一仞，也有以五尺六寸或四尺为一仞的。,伸臂一尋，八尺。,伸臂一尋，八尺,古代长度单位，八尺为一仞，一说七尺为一仞，也有以五尺六寸或四尺为一仞的。,伸臂一尋，八尺 古代长度单位，八尺为一仞，一说七尺为一仞，也有以五尺六寸或四尺为一仞的。,0.2695596,-0.24875805
2.0,忍,心部,刃,忍耐；容忍,能也。,能也,忍耐,能也 忍耐,0.09399931,0.03229629
3.0,佼,人部,交,交往；交際,交也。,交也,交往,交也 交往,0.027555833,0.07498852
3.0,恔,心部,交,聪明；狡黠。,憭也。,憭也,聪明,憭也 聪明,-0.15277664,-0.222923
4.0,儒,人部,需,春秋時從巫、史、祝、卜中分化出来的熟悉詩書禮樂而為貴族服務的人,柔也。,柔也,春秋時從巫、史、祝、卜中分化出来的熟悉詩書禮樂而為貴族服務的人,柔也 春秋時從巫、史、祝、卜中分化出来的熟悉詩書禮樂而為貴族服務的人,0.08481218,-0.096868336
4.0,懦,心部,需,膽小軟弱,駑弱者也。駑弱也。,駑弱者也,膽小軟弱,駑弱者也 膽小軟弱,0.1301449,-0.16115129
5.0,俊,人部,夋,才智超群的人,材千人也。材過千人也。,材千人也,才智超群的人,材千人也 才智超群的人,0.07512752,-0.2030117
5.0,悛,心部,夋,停止,止也。,止也,停止,止也 停止,0.09461116,0.13581634
6.0,㑮,人部,軍,姓,人姓。,人姓,姓,人姓 姓,0.03915648,-0.032998238
6.0,惲,心部,軍,敦厚；渾厚,重厚也。,重厚也,敦厚,重厚也 敦厚,0.06593903,-0.07231193
7.0,伋,人部,及,人名,人名。,人名,人名,人名 人名,-0.028400077,-0.05140127
7.0,急,心部,刍,狹窄；狹隘,褊也。,褊也,狹窄,褊也 狹窄,-0.011835461,-0.19738276
8.0,伉,人部,亢,人名/匹偶,人名。,人名,人名/匹偶,人名 人名/匹偶,0.00042093432,-0.054936625
8.0,忼,心部,亢,同“慷”,慨也。忼慨也。,慨也,同“慷”,慨也 同“慷”,0.11740977,-0.0499413
9.0,伯,人部,白,古代統領一方的長官,長也。,長也,古代統領一方的長官,長也 古代統領一方的長官,0.07852538,-0.07421381
9.0,怕,心部,白,恬淡,無爲也。無僞也。,無爲也,恬淡,無爲也 恬淡,0.089175284,-0.0057213046
10.0,仲,人部,中,中；居中,中也。,中也,中,中也 中,-0.0975361,0.07227309
10.0,忡,心部,中,憂愁貌。,憂也。,憂也,憂愁貌。,憂也 憂愁貌。,0.32719702,0.032313403
11.0,倩,人部,青,古時男子的美稱。,人字。人美字也。,人字,古時男子的美稱。,人字 古時男子的美稱。,0.13840888,-0.1969883
11.0,情,心部,青,感情；情緒,人之陰气有欲者。人之侌气有欲者。,人之陰气有欲者,感情,人之陰气有欲者 感情,0.24907915,-0.05757232
12.0,儇,人部,睘,輕薄；小聰明,慧也。,慧也,輕薄,慧也 輕薄,0.072127424,-0.17143086
12.0,懁,心部,睘,性急,急也。㤂也。,急也,性急,急也 性急,0.15001798,0.022694621
13.0,倓,人部,炎,安然不移,安也。,安也,安然不移,安也 安然不移,-0.00043524703,0.068895124
13.0,惔,心部,炎,火燒,憂也。也。,憂也,火燒,憂也 火燒,0.19761021,0.07771108
14.0,侚,人部,旬,疾速,疾也。,疾也,疾速,疾也 疾速,0.13969816,0.02482541
14.0,恂,心部,旬,誠信,信心也。,信心也,誠信,信心也 誠信,0.08171048,0.009468228
15.0,佳,人部,圭,美，好,善也。,善也,美，好,善也 美，好,0.07043662,-0.03942533
15.0,恚,心部,圭,憤怒，怨恨,恨也。怒也。,恨也,憤怒，怨恨,恨也 憤怒，怨恨,0.35332546,0.032770254
16.0,侅,人部,亥,非常，特殊,奇侅，非常也。,奇侅，非常也,非常，特殊,奇侅，非常也 非常，特殊,0.06526143,-0.1997208
16.0,㤥,心部,亥,愁苦,苦也。苦也通俗文。,苦也,愁苦,苦也 愁苦,0.1924772,0.10369063
17.0,僚,人部,尞,美好,好皃。,好皃,美好,好皃 美好,0.041053355,-0.07655368
17.0,憭,心部,尞,聰慧，精明,慧也。,慧也,聰慧，精明,慧也 聰慧，精明,0.14904436,-0.19547659
18.0,儺,人部,難,行有節度,行人節也。行有節也。,行人節也,行有節度,行人節也 行有節度,0.121428266,-0.0119735
18.0,戁,心部,難,恭敬,敬也。,敬也,恭敬,敬也 恭敬,0.07588137,0.09170974
19.0,僓,人部,貴,嫻雅,嫺也。,嫺也,嫻雅,嫺也 嫻雅,-0.14991169,-0.18876402
19.0,憒,心部,貴,昏亂,亂也。,亂也,昏亂,亂也 昏亂,0.16194503,-0.051032685
20.0,侗,人部,同,長大,大皃。,大皃,長大,大皃 長大,0.022340696,-0.2309733
20.0,恫,心部,同,哀痛，痛苦,痛也，一曰呻吟也。痛也。,痛也，一曰呻吟也,哀痛，痛苦,痛也，一曰呻吟也 哀痛，痛苦,0.38507754,0.097504675
21.0,僤,人部,單,疾速,疾也。,疾也,疾速,疾也 疾速,0.13969816,0.02482541
21.0,憚,心部,單,畏難，畏懼,忌難也，一曰難也。忌難也。,忌難也，一曰難也,畏難，畏懼,忌難也，一曰難也 畏難，畏懼,0.4126369,0.01429234
22.0,傪,人部,參,好貌,好皃。,好皃,好貌,好皃 好貌,-0.008079544,-0.20098715
22.0,慘,心部,參,狠毒，凶惡,毒也。,毒也,狠毒，凶惡,毒也 狠毒，凶惡,0.29780903,-0.07237955
23.0,俚,人部,里,聊賴，依託,聊也。賴也。,聊也,聊賴，依託,聊也 聊賴，依託,0.14263755,0.07017182
23.0,悝,心部,里,嘲笑，詼諧,啁也，一曰病也。啁也。,啁也，一曰病也,嘲笑，詼諧,啁也，一曰病也 嘲笑，詼諧,0.14793122,-0.1112714
24.0,僩,人部,閒,胸襟開闊貌。一說為武勇威嚴貌。,武皃。,武皃,胸襟開闊貌。一說為武勇威嚴貌。,武皃 胸襟開闊貌。一說為武勇威嚴貌。,0.19857989,-0.31253204
