GroupID,Phonetic,Pair,Char_From,Char_To,Radical_From,Radical_To,Direction,Distance,Angle,dx,dy,Shift_Level
44.0,面,偭(人部) → 愐(心部),偭,愐,人部,心部,人部 → 心部,0.02981215400077767,-18.49431079600439,0.02827251,-0.009456728000000005,微弱变动
32.0,侖,倫(人部) → 惀(心部),倫,惀,人部,心部,人部 → 心部,0.030964109859239187,-32.86845900549074,0.0260073365,-0.016804599000000003,微弱变动
34.0,寺,侍(人部) → 恃(心部),侍,恃,人部,心部,人部 → 心部,0.038540726431481695,-93.53552444314663,-0.0023767059999999993,-0.038467374,微弱变动
50.0,支,伎(人部) → 忮(心部),伎,忮,人部,心部,人部 → 心部,0.04141546474322967,-85.51139294761262,0.0032412099999999944,-0.04128844,微弱变动
39.0,舌,佸(人部) → 恬(心部),佸,恬,人部,心部,人部 → 心部,0.043195269499825,82.83609539393987,0.005386803999999995,0.042858064,微弱变动
6.0,軍,㑮(人部) → 惲(心部),㑮,惲,人部,心部,人部 → 心部,0.04756964749893953,-55.735255348666925,0.026782549999999995,-0.039313692,微弱变动
14.0,旬,侚(人部) → 恂(心部),侚,恂,人部,心部,人部 → 心部,0.05998678246716957,-165.1665931412182,-0.057987679999999986,-0.015357181999999999,微弱变动
9.0,白,伯(人部) → 怕(心部),伯,怕,人部,心部,人部 → 心部,0.06931553758846747,81.16184925194132,0.010649903999999988,0.0684925054,微弱变动
29.0,詹,儋(人部) → 憺(心部),儋,憺,人部,心部,人部 → 心部,0.0699305618147638,32.404183616434224,0.059041590000000005,0.037474980000000005,微弱变动
4.0,需,儒(人部) → 懦(心部),儒,懦,人部,心部,人部 → 心部,0.07865973352080795,-54.80828277823323,0.04533272000000001,-0.064282954,微弱变动
54.0,每,侮(人部) → 悔(心部),侮,悔,人部,心部,人部 → 心部,0.08521291836468939,85.79565852256265,0.006247279999999994,0.084983604,微弱变动
47.0,且,伹(人部) → 怚(心部),伹,怚,人部,心部,人部 → 心部,0.08928737894719863,111.53070828279284,-0.0327684539,0.0830569953,微弱变动
40.0,合,佮(人部) → 恰(心部),佮,恰,人部,心部,人部 → 心部,0.10691484059682088,-20.742008787499227,0.099985114,-0.037865025,微弱变动
38.0,白,伯(人部) → 怕(心部),伯,怕,人部,心部,人部 → 心部,0.10807961900510515,87.40326743528108,0.004896657299999999,0.107968638,微弱变动
27.0,庸,傭(人部) → 慵(心部),傭,慵,人部,心部,人部 → 心部,0.11178853851131688,-99.96584090071012,-0.019346238,-0.11010177300000001,微弱变动
18.0,難,儺(人部) → 戁(心部),儺,戁,人部,心部,人部 → 心部,0.11324634206954508,113.71535076409106,-0.045546896,0.10368324,微弱变动
8.0,亢,伉(人部) → 忼(心部),伉,忼,人部,心部,人部 → 心部,0.11709543520401496,2.444996451460604,0.11698883568,0.004995325000000002,微弱变动
37.0,夾,俠(人部) → 㤲(心部),俠,㤲,人部,心部,人部 → 心部,0.11988074241198128,40.167802667447994,0.09160790299999999,0.07732648,微弱变动
1.0,童,僮(人部) → 憧(心部),僮,憧,人部,心部,人部 → 心部,0.13147366057833412,65.44225205283324,0.054641790999999995,0.119580927,微弱变动
7.0,及,伋(人部) → 急(心部),伋,急,人部,心部,人部 → 心部,0.14691828315716038,-83.52629957058457,0.016564615999999997,-0.14598149,微弱变动
30.0,共,供(人部) → 㤨(心部),供,㤨,人部,心部,人部 → 心部,0.15015217861286054,-31.03035158403734,0.12866455300000001,-0.077402258,微弱变动
53.0,非,俳(人部) → 悱(心部),俳,悱,人部,心部,人部 → 心部,0.15084204600916162,-26.947821478231113,0.13446355599999998,-0.06835843,微弱变动
17.0,尞,僚(人部) → 憭(心部),僚,憭,人部,心部,人部 → 心部,0.16063846265380569,-47.75817422180717,0.10799100499999999,-0.11892291,微弱变动
33.0,甫,俌(人部) → 悑(心部),俌,悑,人部,心部,人部 → 心部,0.1613015058955821,1.8365329277875384,0.16121865000000002,0.0051694000000000045,微弱变动
42.0,昔,借(人部) → 惜(心部),借,惜,人部,心部,人部 → 心部,0.17509479857357071,37.742041534027656,0.13846052,0.10717683,微弱变动
48.0,朁,僭(人部) → 憯(心部),僭,憯,人部,心部,人部 → 心部,0.17509479857357071,37.742041534027656,0.13846052,0.10717683,微弱变动
11.0,青,倩(人部) → 情(心部),倩,情,人部,心部,人部 → 心部,0.1780020340929656,51.556983586492976,0.11067026999999999,0.13941598,微弱变动
23.0,里,俚(人部) → 悝(心部),俚,悝,人部,心部,人部 → 心部,0.18152042591961187,-88.32884945928669,0.00529367,-0.18144322000000002,微弱变动
49.0,長,倀(人部) → 悵(心部),倀,悵,人部,心部,人部 → 心部,0.18877607860996054,65.4293503066294,0.07849592000000001,0.17168226,微弱变动
52.0,票,僄(人部) → 慓(心部),僄,慓,人部,心部,人部 → 心部,0.19016713820147604,54.74711820166477,0.10976186,0.155292867,微弱变动
46.0,介,价(人部) → 忦(心部),价,忦,人部,心部,人部 → 心部,0.1973675743303405,38.05439651191258,0.155412338,0.12165921500000001,微弱变动
13.0,炎,倓(人部) → 惔(心部),倓,惔,人部,心部,人部 → 心部,0.1982415802257829,2.548828100008772,0.19804545703,0.008815956,微弱变动
36.0,血,侐(人部) → 恤(心部),侐,恤,人部,心部,人部 → 心部,0.19990102328896767,30.4274867018119,0.172368817,0.10123937000000001,微弱变动
12.0,睘,儇(人部) → 懁(心部),儇,懁,人部,心部,人部 → 心部,0.20916892954612187,68.13745898634306,0.077890556,0.194125481,微弱变动
45.0,官,倌(人部) → 悹(心部),倌,悹,人部,心部,人部 → 心部,0.21418284772704058,62.39324845178255,0.09925243,0.189797912,微弱变动
28.0,弗,佛(人部) → 怫(心部),佛,怫,人部,心部,人部 → 心部,0.21970369251719757,1.870933908762939,0.21958656999999998,0.007172919999999999,微弱变动
41.0,乍,作(人部) → 怍(心部),作,怍,人部,心部,人部 → 心部,0.2414161431120206,-154.39794017085006,-0.21771318,-0.104320302,微弱变动
21.0,單,僤(人部) → 憚(心部),僤,憚,人部,心部,人部 → 心部,0.27314190699417124,-2.2100238603078592,0.27293873999999996,-0.010533069999999999,微弱变动
51.0,台,佁(人部) → 怡(心部),佁,怡,人部,心部,人部 → 心部,0.289923132603242,124.25013850555992,-0.163170747,0.239647095,微弱变动
26.0,敬,儆(人部) → 憼(心部),儆,憼,人部,心部,人部 → 心部,0.2909966202656006,160.23081772029806,-0.273846103,0.09842431039999999,微弱变动
15.0,圭,佳(人部) → 恚(心部),佳,恚,人部,心部,人部 → 心部,0.29195598665834316,14.316758096859695,0.28288884,0.07219558400000001,微弱变动
